,n,beta,bleu 1,bleu 2,bleu 3,bleu 4
108,35,0.15000000000000002,0.7962835512726798,0.6647078583043549,0.548659870142379,0.446330355390943
109,35,0.2,0.8130584192434275,0.6899256622188542,0.5761207687374829,0.47564365005268505
110,35,0.25,0.8107734806624235,0.6912627247489419,0.578034983598991,0.4776623679161217
111,35,0.30000000000000004,0.8196948682379891,0.7034644461196601,0.5891873311598618,0.4870827997562945
112,35,0.35000000000000003,0.8296089385469066,0.712734082717237,0.6023457672670313,0.5009600966758727
113,35,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
114,35,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
115,35,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
116,35,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
117,35,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
118,35,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
119,35,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
120,35,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
121,35,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
122,35,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
123,35,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
124,35,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
125,35,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
126,40,0.0,0.21272528672850555,0.06322724708043637,0.015279554687889076,1.0265713479706373e-06
127,40,0.05,0.645183645183198,0.44395705345340936,0.29834502737148766,0.19930343945750134
128,40,0.1,0.7697095435679324,0.616043477865002,0.48756821396197114,0.38408036502360077
129,40,0.15000000000000002,0.7998610145929118,0.6684163343668736,0.5520891670688288,0.44953204581565853
130,40,0.2,0.8137931034477146,0.6897506565194897,0.5756110334789281,0.475033948598603
131,40,0.25,0.8085694540422885,0.6869681733323466,0.5724772327622819,0.47121618400018944
132,40,0.30000000000000004,0.8167938931292041,0.6988786445406183,0.5834611702553848,0.4805194425691661
133,40,0.35000000000000003,0.8280922431860042,0.7109976576206404,0.6007196309681824,0.499630444275249
134,40,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
135,40,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
136,40,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
137,40,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
138,40,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
139,40,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
140,40,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
141,40,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
142,40,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
143,40,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
144,40,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
145,40,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
146,40,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
147,5,0.0,0.3428827215755467,0.18543105941622876,0.09060570883693025,0.04272829640194744
148,5,0.05,0.7461174881831559,0.5885844979842324,0.4482311544159537,0.33888792897042336
149,5,0.1,0.7828418230557755,0.6467260129798463,0.5282075016728534,0.4287814307744614
150,5,0.15000000000000002,0.8138736263730674,0.6886510715657309,0.5740025857969242,0.47244076049666084
151,5,0.2,0.8160603980776828,0.6951745076646889,0.5820122226332747,0.4812595403993445
152,5,0.25,0.8123711340200602,0.6936840882207074,0.5798679580177961,0.4788479592167672
153,5,0.30000000000000004,0.8178670360105139,0.7012356911927267,0.587184120953041,0.48470383237832015
154,5,0.35000000000000003,0.827634333565368,0.7102468195620885,0.5999432084607547,0.4984490889346141
